"","receiver_id","receiver_player_name","Pos","posteam","complete_pass","yards_gained","G"
"10494","00-0034646","B.Powell","WR","ATL",1,4,15
"10495","00-0034983","H.Renfrow","WR","LV",1,19,16
"10496","00-0031610","D.Waller","TE","LV",1,4,16
"10497","00-0032972","D.Booker","RB","LV",0,0,16
"10498","00-0031610","D.Waller","TE","LV",1,9,16
"10499","00-0031610","D.Waller","TE","LV",0,0,16
"10500","00-0034983","H.Renfrow","WR","LV",1,12,16
"10501","00-0031941","J.Crowder","WR","NYJ",1,16,12
"10502","00-0032054","B.Perriman","WR","NYJ",1,37,12
"10503","00-0023500","F.Gore","RB","NYJ",1,6,15
"10504","00-0034798","D.Smythe","TE","MIA",1,2,15
"10505","00-0034798","D.Smythe","TE","MIA",1,12,15
"10506","00-0033555","M.Hollins","WR","MIA",1,12,16
"10507","00-0036245","M.Perry","RB","MIA",1,8,9
"10508","00-0031547","D.Parker","WR","MIA",0,0,14
"10509","00-0033896","A.Shaheen","TE","MIA",0,0,16
"10510","00-0031941","J.Crowder","WR","NYJ",1,6,12
"10511","00-0031941","J.Crowder","WR","NYJ",0,0,12
"10512","00-0034798","D.Smythe","TE","MIA",1,5,15
"10513","00-0034829","M.Gesicki","TE","MIA",1,22,15
"10514","00-0032791","J.Grant","WR","MIA",1,5,14
"10515","00-0036364","L.Bowden","RB","MIA",0,0,10
"10516","00-0034829","M.Gesicki","TE","MIA",0,0,15
"10517","00-0036255","D.Mims","WR","NYJ",1,19,9
"10518","00-0036255","D.Mims","WR","NYJ",0,0,9
"10519","00-0031547","D.Parker","WR","MIA",1,11,14
"10520","00-0033555","M.Hollins","WR","MIA",1,7,16
"10521","00-0031547","D.Parker","WR","MIA",1,19,14
"10522","00-0031547","D.Parker","WR","MIA",1,17,14
"10523","00-0034829","M.Gesicki","TE","MIA",1,13,15
"10524","00-0032054","B.Perriman","WR","NYJ",0,0,12
"10525","00-0031547","D.Parker","WR","MIA",1,19,14
"10526","00-0033308","M.Breida","RB","MIA",1,13,12
"10527","00-0033308","M.Breida","RB","MIA",1,4,12
"10528","00-0031547","D.Parker","WR","MIA",0,0,14
